time,true_angle,gyro_meas,accel_meas,filtered_angle
0.0,0.01,0.9931982998549987,-0.11272273472092431,0.009891111716404211
0.01,0.02,0.8083661462697155,-0.00814468726873778,0.017957372095248503
0.02,0.03,0.9771434506664849,0.08368089894829528,0.027784697100207503
0.03,0.04,0.954841852301338,-0.16376454306298943,0.037065387658601574
0.04,0.05,0.9882953769781491,-0.05277776366909932,0.04678233474460205
0.05,0.060000000000000005,0.9444677780940166,-0.044930606764397966,0.056024957266639544
0.06,0.07,1.005664012133272,-0.027434698307536434,0.0658636387516536
0.07,0.08,1.0958223134731346,0.11680609333500572,0.07692759011904997
0.08,0.09,1.1112344294384804,0.06503339126993493,0.08797073366784318
0.09,0.09999999999999999,0.8726392001569866,0.13090598107846077,0.09681014627704727
0.1,0.10999999999999999,0.9259335103335615,0.18543158283210082,0.1063587015792242
0.11,0.11999999999999998,0.9102298054648132,0.1415157147690303,0.11556471568570446
0.12,0.12999999999999998,1.1226891069106333,0.11523805864319897,0.12674207149010108
0.13,0.13999999999999999,0.9771533618884302,0.06779682655816845,0.13619519582609624
0.14,0.15,1.004278813269312,0.04101239187121972,0.145715222282871
0.15,0.16,0.981292279593402,0.10199797706140976,0.1552433814015721
0.16,0.17,0.7567201650789972,0.2516787644173866,0.16330762527604087
0.17,0.18000000000000002,0.9765543756856113,0.13243028245468808,0.17283061215784293
0.18,0.19000000000000003,0.9917572335767341,0.27623219446304104,0.18333261204361892
0.19,0.20000000000000004,1.0475896731926302,0.28854509365657205,0.1944330749316549
0.2,0.21000000000000005,1.0274991461267267,0.2912502166625061,0.20530835152834354
0.21,0.22000000000000006,0.9773644054380395,0.2966491717446083,0.21567594828676628
0.22,0.23000000000000007,1.0599287854973285,0.5066308583101337,0.2284005463480804
0.23,0.24000000000000007,0.9490042349114693,0.3967773686367302,0.23915507475199752
0.24,0.25000000000000006,0.9215370166496152,0.17828683741509252,0.24781151687055492
0.25,0.26000000000000006,1.0824443282428442,0.18094498179376833,0.25798783511249307
0.26,0.2700000000000001,1.0493575897820793,0.09848339639991482,0.2669900645348848
0.27,0.2800000000000001,1.0305701453785094,0.18169494111136741,0.27642632558259783
0.28,0.2900000000000001,1.1626352032732736,0.19176425461894064,0.28714316224021513
0.29,0.3000000000000001,1.1125006213927353,0.40495874885868144,0.2993118253638242
0.3,0.3100000000000001,1.1300262862534525,0.35131334660046865,0.3110267465251709
0.31,0.3200000000000001,0.9750711817170089,0.25989961754282387,0.3201485449357106
0.32,0.3300000000000001,1.1385961664299598,0.33284157238300305,0.33155095676922125
0.33,0.34000000000000014,1.0527832793834602,0.14111892856276603,0.339863472790483
0.34,0.35000000000000014,0.9147041301849266,0.4829358036029834,0.3505221863485297
0.35000000000000003,0.36000000000000015,1.0050324414374985,0.18731152810158924,0.3585534018666382
0.36,0.37000000000000016,0.942970369423706,0.46250723818184225,0.3691030437830636
0.37,0.38000000000000017,1.0262393256633588,0.3459671551103627,0.37895139407531037
0.38,0.3900000000000002,0.9133671890381881,0.48220392394560974,0.38926056238496176
0.39,0.4000000000000002,0.9448008729062805,0.29376025439073333,0.39735830998795146
0.4,0.4100000000000002,0.8386399495906104,0.45010283238504234,0.40632070465300235
0.41000000000000003,0.4200000000000002,0.9419187393568065,0.3867658453481786,0.41534552526981317
0.42,0.4300000000000002,1.0653966112055235,0.4242632941036083,0.4259689536413771
0.43,0.4400000000000002,1.039557178351396,0.4427396303846756,0.43644723188021384
0.44,0.45000000000000023,0.9106796177228529,0.4891975318983627,0.44617312817050264
0.45,0.46000000000000024,0.9922768395351501,0.2990996151500846,0.4537983478108647
0.46,0.47000000000000025,0.9655201175033752,0.5011031660300032,0.46399854467126106
0.47000000000000003,0.48000000000000026,0.9904719646429677,0.3761861083369437,0.47240661032067965
0.48,0.49000000000000027,1.1036806565188384,0.6372685012458373,0.48580086726718213
0.49,0.5000000000000002,1.0572157633182906,0.4953673860722789,0.4963500619886451
0.5,0.5100000000000002,1.0120186754303244,0.5333939407722708,0.5068943589249079
0.51,0.5200000000000002,1.0610624592960287,0.5002926681754578,0.5172200179044883
0.52,0.5300000000000002,1.3292938383999924,0.5006066530735754,0.5300112709946299
0.53,0.5400000000000003,0.9943745380525862,0.4348245542616363,0.5381758781458249
0.54,0.5500000000000003,1.1329071475306838,0.5699897742182862,0.5498341247002401
0.55,0.5600000000000003,1.0940292855708453,0.6875178845867931,0.562956049171949
0.56,0.5700000000000003,0.9832130828228259,0.6819296254964317,0.5747073608059636
0.5700000000000001,0.5800000000000003,0.9689180269749496,0.5746668175716146,0.5842316787729401
0.58,0.5900000000000003,1.2115793763211458,0.3659668405657157,0.5921781092375621
0.59,0.6000000000000003,1.1284985960521798,0.5932177781132759,0.6032536344043297
0.6,0.6100000000000003,0.8976316813799049,0.7217097671026657,0.6142472815319228
0.61,0.6200000000000003,0.8708223997177802,0.5627972046279867,0.6218119553588556
0.62,0.6300000000000003,1.05842639486274,0.760829075481033,0.634835615657396
0.63,0.6400000000000003,0.9030980530928465,0.6048628666837261,0.6431132318804332
0.64,0.6500000000000004,0.8579863200712371,0.7258085285119724,0.6531414684897245
0.65,0.6600000000000004,0.9381676397449873,0.6107439601412739,0.661503381085483
0.66,0.6700000000000004,0.8686807396915377,0.7213347640179979,0.6712151966043617
0.67,0.6800000000000004,0.9295945033476588,0.6254197262518095,0.6794006289883969
0.68,0.6900000000000004,0.975750705529674,0.7855955190858128,0.6911341844896756
0.6900000000000001,0.7000000000000004,1.073415950614052,0.6377776083086287,0.7005534968887108
